"order_id","payment_sequential","payment_type","payment_installments","payment_value"
"a9810da82917af2d9aefd1278f1dcfa0",1,"credit_card",1,4.88
"25e8ea4e93396b6fa0d3dd708e76c1bd",1,"credit_card",1,13.14
"ba78997921bbcdc1373bb41e913ab953",1,"credit_card",8,21.56
"42fdf880ba16b47b59251dd489d4441a",1,"credit_card",2,25.69
"298fcdf1f73eb413e4d26d01b25bc1cd",1,"credit_card",2,19.22
"771ee386b001f06208a7419e4fc1bbd7",1,"credit_card",1,16.23
"3d7239c394a212faae122962df514ac7",1,"credit_card",3,10.37
"0573b5e23cbd798006520e1d5b4c6714",1,"mobile",1,10.39
"2480f727e869fdeb397244a21b721b67",1,"credit_card",1,28.38
"12e5cfe0e4716b59afb0e0f4a3bd6570",1,"credit_card",10,31.49
"79da3f5fe31ad1e454f06f95dc032ad5",1,"credit_card",1,19.79
"b2349a3f20dfbeef62e7b31baa22f84b",1,"credit_card",3,27.34
"5a1f6d22f7dfb061ef29216b9af687a1",1,"credit_card",4,9.54
"4214cda550ece8ee66441f459dc33a8c",1,"credit_card",2,34.11
"8cd68144cdb62dc0d60848cf8616d2a4",1,"mobile",1,66.13
"5cfd514482e22bc992e7693f0e3e8df7",2,"voucher",1,9.03
"5d9c5817e278892b7498d90bfa28ade8",1,"credit_card",2,58.03
"f45074ae38f2e01d9b854ec8d40362ff",1,"credit_card",1,2.76
"595f598849d89203c28d05d0fbf3f92e",1,"credit_card",1,5.32
"e647bf617de735448a4ba54f8910393c",1,"credit_card",1,13.02
"23f10f509600c30cf2852f9dbdf28fc3",1,"credit_card",1,20.7
"f86f6472fa9f395d8d9a6751ca118afb",1,"credit_card",1,12.81
"1dcf0c8cd36ffaf57784fbdc90079310",1,"credit_card",3,31.43
"d3e774a185c0b1b2286ffd6c70abe2e6",1,"credit_card",8,23.55
"56c3277583e16009c925fdf116df420f",1,"mobile",1,6.28
"e8977f709bbb0367f51b589e6325f991",1,"credit_card",1,26.5
"2e2c60b99754ae1e4d8b18846cfec9f2",1,"credit_card",4,108.53
"1ffb3c1929b16d9c1aec1958e11b3e9b",1,"mobile",1,33.21
"10af96a0689260134307879127ac1952",1,"credit_card",2,22.64
"85eef2d342b0de363c45c1bc324729c5",1,"credit_card",3,19.89
"3ab4eea6776259ae8dfbabaeffece352",1,"credit_card",8,77.56
"10d9871bed9fb8d0887d3b9022edd1ff",1,"mobile",1,16.83
"c108072ab31ec90a754129c171577f5f",1,"credit_card",4,42.16
"55e2d723733c45033e71cb4d44690234",1,"mobile",1,17.93
"e3e9e3295f4e1512167c232a0aaae8a5",1,"voucher",1,10.16
"460d57443ffdcaeba240360239747cf7",1,"credit_card",1,6.8
"4cb51127f19f7254b320efe1718477dd",1,"mobile",1,15.42
"42f5954cda381bd032934ee38c453711",1,"credit_card",8,80.48
"97c111c4f22dfa1089a9c0b5338dcc79",1,"credit_card",3,8.8
"fee72a68ce935ebf2939fe72f27d3d9b",1,"credit_card",1,9.74
"4c2e1a95586c815795a324d1599e7b5a",1,"credit_card",8,23.54
"c9f23db8a1cb725df9bdb3383bd72b38",1,"credit_card",3,33.87
"8e47a04b25d7a7075064e8e0bd2e0318",1,"credit_card",1,7.52
"723e462ce1ee50e024887c0b403130f3",1,"credit_card",1,2.76
"fa2ea4b6e84c1c0fc4f3a6d468c55183",1,"debit_card",1,45.42
"fb1a2a1296f822405a946cbdfc0d3ed6",1,"credit_card",3,6.96
"5be8d4719fe2e3669e2d07dddf3b6b0c",1,"credit_card",4,23.57
"4a02e985c7239d866a632f07ed20d9c0",1,"credit_card",1,9.72
"f8d323a2702fed37f0229965f7e9f8b3",1,"credit_card",1,10.23
"de4090fd9b7900d46323b0c7c36b7128",1,"credit_card",2,24.29
"17e5131fe1d4b1a8dc14d4a66914f9d7",1,"credit_card",1,14.67
"20f136d890c31a62486c809f91a5b098",1,"credit_card",10,23.54
"3ba2d0012b1f34bc6ccbc31c4ba69f93",1,"credit_card",6,12.01
"d46f45b0d795bcf47a19d301710e63fe",1,"credit_card",1,5.45
"96de2b7f7f3c401fbee3eef068376da6",1,"mobile",1,6.43
"f9d5bfb53147f381e81b89a848e26b16",1,"credit_card",3,39.14
"21b8b46679ea6482cbf911d960490048",2,"voucher",1,8.62
"85a4fbdba48c815924115fb82330071c",1,"credit_card",3,6.82
"f49cd89d6dad6dd5759ecf15dfe4bb19",1,"mobile",1,9.4
"83f24bbc4f76a2730ba9c9cfa32e6d07",1,"credit_card",3,46.29
"f090de1b2ed9f4e251662cb31e3c7127",1,"credit_card",2,5.53
"0f4b5614da144989e2acc5291af24357",1,"credit_card",4,19.4
"1d92d2ce1ae2e0510b5ce50c5be578c6",1,"credit_card",2,22.01
"a490a5d59a9bf4ef3334bfd7cf1dbdfc",1,"credit_card",1,3.56
"60ead11db6b36221fe1424e330883a9a",1,"credit_card",1,8.8
"8f936fb77c720ab9ccd618af38c885cc",1,"credit_card",4,9.33
"0fba53cb4e9429e38cd2750c32fa24a5",1,"mobile",1,10.44
"cdaa116d3c2521b4b6976043508d0943",1,"credit_card",2,12.35
"68d7420c86be23f313c81a554320f986",1,"mobile",1,24.38
"a5f860aaf6a3c35399495aefe92d363f",1,"credit_card",1,15.15
"f51e3c7f79d1e2c076acbb6af1588b95",1,"credit_card",1,26.04
"8bdc559b124e47eb71b5d1be8d6675e4",1,"credit_card",7,15.2
"49d3db2a02106c24d6ef800bd8ad5546",1,"mobile",1,18.03
"859980aae511377b7230f72d90bfc580",1,"credit_card",10,21.35
"db43c1a570e28fe9da60a444e3616a2b",1,"credit_card",7,37.34
"f75666bf6c9e09f6b3f4bcd797b57a3c",1,"credit_card",4,19.46
"14d9794bbb53614d12cc2df6a045f82b",1,"mobile",1,23.34
"4f99d1a7b0d2308edf45baa6997ac961",1,"credit_card",6,25.11
"ca8f94a99a8120c559e416275a535066",1,"credit_card",5,18.55
"3b697a20d9e427646d92567910af6d57",1,"mobile",1,9.09
"53035288acc866ee15423b4293722b46",1,"credit_card",1,75.15
"845af9472cc76e66fbf445931b511755",1,"credit_card",5,24.68
"886b114d034f4ac1d39d964c1b2a8182",1,"credit_card",10,405.43
"aa600269bffea363cca75ad2d1908903",1,"mobile",1,18.65
"65c863d90026e9dd4888e28d2135c983",2,"voucher",1,10
"4a4ed9ed7922304a569ed850baba99c6",1,"credit_card",3,6.63
"2fe14af1d4563c0e76f382bc63c9a245",1,"credit_card",2,17.74
"bc3d816db1aa7215dbde5b1b00d3d32b",1,"credit_card",2,9.37
"b545ba7b0bd67a3128185c7214704319",1,"credit_card",8,68.02
"9d8065ae4c6f5725ee052d02ab00f64e",1,"mobile",1,16.41
"d9d104af1ea99e0b7f6b0644eedc74d0",1,"credit_card",1,8.19
"9e59025992bd64bc26551391ed44a450",1,"credit_card",3,13.4
"591083bc42b589c7052118aa83118e76",5,"voucher",1,4
"79b63d1f9cf0257b33b04fbfb0847cba",2,"voucher",1,15.38
"1e6d912e4c63965bb9eccf0cc765fc24",1,"mobile",1,41.45
"c1b770015e27aaf2b475026989d04fe0",1,"mobile",1,27.55
"66f249e4d7ab2f3872de7bd6d74719dd",1,"credit_card",8,69.75
"c79bdf061e22288609201ec60deb42fb",1,"credit_card",1,2.44
"02951078a21a2d9341ea16089a4d5031",1,"credit_card",12,51.42
"afd0dbbab8e90d099aaccdd8ed7d5f26",1,"credit_card",3,53.89
"774359a2a8b6be829653bae9390a0dd0",1,"credit_card",10,70.02
"5262eaeb971616ffef822379ed91896f",1,"credit_card",1,0.13
"52636dd3c039f62169b0eb724af63047",1,"credit_card",2,15.55
"aa7c35fd606f4275e267e859c6a84d0f",1,"credit_card",2,5.34
"9c96fac210f67f329b80d898001fee09",1,"mobile",1,13
"85e710051891004eca4f527adcadd0c3",2,"voucher",1,13.96
"11978d520d85578c9f024b99ac1a87ef",2,"voucher",1,4.02
"9062b998bfc2521b3978b34034ba6e1e",1,"credit_card",1,25.08
"31be75ffd0c4b58ca777e72cd2352b14",1,"mobile",1,19.2
"999d0185fdc3859e118a76c1e7d8dfe4",1,"credit_card",2,5.07
"50bf77081d0fdd2e57dcff0acf8fefeb",1,"credit_card",2,29.12
"d56564f21e612a588607e9ffb39b9d21",2,"voucher",1,0.25
"068176c8a0550b07cddf7e05c8d55319",1,"mobile",1,24.76
"9488305b52042a978d3bf78cf94bcd54",1,"credit_card",3,56.73
"4b5648d8399ea47a4c323499045aaefc",1,"mobile",1,6.48
"dc400373e624e9b0435847a79813c658",2,"voucher",1,9.78
"251d586514cbf0cace61e03c54a7bf1c",1,"credit_card",10,62.24
"881206af1a6a9cd34119b99782759dd4",1,"mobile",1,8.95
"27a7ac440630f9de788e4d66e72c6424",1,"credit_card",1,37.28
"cc1cc1d6081f7f07a16cc1a3e4ba0b78",1,"credit_card",10,41.68
"76b8568803f110a59ece4167463a4a7e",1,"debit_card",1,15.28
"ad62ce74c314772d34c956d73fb305f3",1,"mobile",1,13.87
"4ff8e28200e5a7a50b448cfaaf1f8ed3",1,"credit_card",10,457.66
"f6ed483455295c6e7544f141244cd981",1,"credit_card",2,30.3
"bf951e41c5adb873b7fdcc1e83b406bf",1,"credit_card",1,10.97
"b798fc527c548bfa5f069b5b29195275",1,"debit_card",1,45.13
"6c936253ed9ab81f5293da5081ba8a9a",1,"mobile",1,7.92
"dcec2b3be8c3d53056fe63381b2a6cfe",1,"credit_card",10,31.84
"90eaac01afdf4e531a70ad869e092c75",1,"credit_card",1,46.89
"7cb79316d2abe37e16ec83a07afb2895",1,"credit_card",1,2.71
"7250e10eca3d7f71a091ac5752d3228f",1,"credit_card",1,44.39
"101fa9bbc869f267953a48b0f659dc62",1,"credit_card",9,26.29
"808c4b75909ba91f23c1ef928f396822",1,"credit_card",3,28.73
"2e2dd1119ebf597a9c05d80b5d6eeace",1,"credit_card",2,21.08
"7354aed5e2d142803a8121059f1e9324",1,"credit_card",4,13.63
"b80ba0f0c3d2a63feac0116f533cc6a9",3,"voucher",1,0.6
"56ba89857b4e6eb192108f310a81163b",1,"credit_card",13,39.45
"0f67e615d797da223ac5601b9b08b180",1,"credit_card",3,30.73
"57bfb7a49bcdecb20d9dbb778d7d7590",1,"credit_card",4,20.41
"f6eb6190398bfb32871584bd111dec04",1,"credit_card",5,23.89
"210a5f61a6a19892f81bb269863f4742",1,"credit_card",1,13.5
"009ac365164f8e06f59d18a08045f6c4",5,"voucher",1,1.75
